Plate,Col,Row,Compound,SMILES
1,30,F,85731283,Cc1c(O)cccc1C(=O)N1CCC2(CCC(=O)N(CC3CC3)C2)CC1
1,31,F,75749019,CC(C)Cc1nc(CN2C(=O)CSc3ccccc32)no1
1,32,F,46446050,Cc1noc(-c2ccc(NC(=O)NCc3nc(C)c4c(n3)CCCC4)cc2)n1
1,33,F,76365796,CN1CCN([C@H]2CCN(C(=O)c3ccc4c(c3)OCO4)C[C@H]2CCCO)CC1
1,34,F,28996390,CC(C)CN1CC2(CCN(C(=O)C3=Cc4ccccc4OC=C3)CC2)CC1=O
1,35,F,98967402,CN(C)Cc1ccc(C2CCCCN2C(=O)c2ccnc3ccccc23)cc1
1,36,F,76240990,O=C(CC1C=CS(=O)(=O)C1)N1CCn2nc(Cc3ccccc3)cc2C1
1,37,F,97462058,O=C(N[C@@H]1CCN(C(=O)c2cccc(O)c2)C[C@H]1O)c1ccncc1
1,38,F,18328237,Cc1cc(C)c(C(=O)N2CCC3(CCC(=O)N(Cc4ccncc4)C3)CC2)cn1
1,39,F,47439833,CCCCC1CN(c2cccc(C)c2)C(=O)CN1C(=O)c1c(Cl)cnn1C
1,40,F,84876491,COc1cccn(CC(=O)N(C)CC2COc3ccccc3O2)c1=O
1,41,F,78544156,O=C(c1ccc2ccccc2n1)N1CCCC(c2nccn2CC2CCC2)C1
1,42,F,16451657,Cc1cc(C(=O)N2CCCCC2c2cccnc2)c2ccc(F)cc2n1
1,43,F,20517421,Cc1cc(C(=O)N2CC(Oc3ccccc3)C2)c2ccc(C)c(C)c2n1
1,44,F,92553909,COc1ccc(Cc2nc(Cn3ccnn3)n(C(C)(C)C)n2)cc1OC
1,45,F,DMSO,
1,46,F,DMSO,
1,47,F,DMSO,
1,48,F,DMSO,
1,1,G,DMSO,
1,2,G,DMSO,
1,3,G,DMSO,
1,4,G,DMSO,
1,5,G,53993483,Cc1ccc2oc(N3CCCC(c4nnc(Cn5ccnc5)n4C)C3)nc2c1
1,6,G,41328364,O=C(NCCc1noc(C2CCCC2)n1)c1cnc(Nc2ccccc2)nc1
1,7,G,74773084,Cc1cc(N2CCC(O)(Cc3ccccc3)CC2)n2nc(C)cc2n1
1,8,G,44378414,O=C(NCCc1c[nH]cn1)c1ccccc1-c1nnn[nH]1
1,9,G,43552700,O=C(NCC1COc2ccccc2O1)c1cn(CCN2CCNCC2)nn1
1,10,G,13660885,Cc1nc2ncc(-c3ccc4c(c3)OCCO4)cc2[nH]1
1,11,G,17610243,COc1ccccc1N1CCN(C(=O)c2cc(CC(C)C)nn2C)CC1=O
1,12,G,13954877,CC(=O)N1CCc2c(nc(-c3cccnc3)nc2N[C@H]2CC[C@H](O)CC2)C1
1,13,G,63722641,O=C(C1COc2ccccc2C1)N1CCc2sccc2C1
1,14,G,71352998,O=C(NCc1nc(-c2ncccn2)no1)c1csc(-c2cccs2)n1
1,15,G,95892542,O=C(Cn1cnc2ccccc2c1=O)NCCSC1CCCCC1
